Trade #,Strategy,Entry Time,Exit Time,Side,Entry Price,Exit Price,Position Size,P&L ($),P&L (%),Commission,Duration (hrs),Result
1,HMA_WAE_45_8h_1y,2024-07-14 00:00:00,2024-07-24 00:00:00,Long,$60092.0410,$66044.9610,0.290929,$1712.66,9.80%,$38.43,240.0,Win
2,HMA_WAE_45_8h_1y,2024-07-27 08:00:00,2024-07-30 16:00:00,Long,$68878.4220,$66154.9060,0.271214,$-756.60,-4.05%,$35.88,80.0,Loss
3,HMA_WAE_45_8h_1y,2024-08-09 00:00:00,2024-08-15 08:00:00,Long,$60894.0018,$59652.9986,0.298082,$-387.70,-2.14%,$35.56,152.0,Loss
4,HMA_WAE_45_8h_1y,2024-09-10 00:00:00,2024-09-30 16:00:00,Long,$57247.1793,$63295.9262,0.312332,$1869.45,10.46%,$39.54,496.0,Win
5,HMA_WAE_45_8h_1y,2024-10-07 00:00:00,2024-10-10 08:00:00,Long,$63563.7560,$60758.9653,0.301872,$-865.03,-4.51%,$36.68,80.0,Loss
6,HMA_WAE_45_8h_1y,2024-10-12 00:00:00,2024-10-22 00:00:00,Long,$62798.9538,$67368.2990,0.295911,$1332.18,7.17%,$39.87,240.0,Win
7,HMA_WAE_45_8h_1y,2024-10-28 16:00:00,2024-11-02 00:00:00,Long,$69997.1911,$69779.0030,0.278796,$-80.28,-0.41%,$38.91,104.0,Loss
8,HMA_WAE_45_8h_1y,2024-11-06 08:00:00,2024-11-19 00:00:00,Long,$74335.1490,$91574.2000,0.261771,$4488.71,23.07%,$47.94,304.0,Win
9,HMA_WAE_45_8h_1y,2024-11-20 08:00:00,2024-11-25 16:00:00,Long,$94787.3400,$92963.5050,0.238421,$-457.01,-2.02%,$44.33,128.0,Loss
10,HMA_WAE_45_8h_1y,2024-12-25 16:00:00,2024-12-27 08:00:00,Long,$99479.3148,$94526.4631,0.223962,$-1130.42,-5.07%,$42.34,40.0,Loss
11,HMA_WAE_45_8h_1y,2025-01-03 08:00:00,2025-01-08 16:00:00,Long,$97570.1107,$95013.0797,0.220238,$-584.08,-2.72%,$41.85,128.0,Loss
12,HMA_WAE_45_8h_1y,2025-01-15 08:00:00,2025-01-23 08:00:00,Long,$99041.9162,$105210.8882,0.212839,$1290.61,6.12%,$44.79,192.0,Win
13,HMA_WAE_45_8h_1y,2025-03-03 00:00:00,2025-03-08 16:00:00,Long,$92409.7618,$86179.3388,0.237886,$-1502.63,-6.84%,$41.00,136.0,Loss
14,HMA_WAE_45_8h_1y,2025-03-24 00:00:00,2025-03-28 08:00:00,Long,$86917.9573,$84009.1344,0.240821,$-720.74,-3.44%,$40.46,104.0,Loss
15,HMA_WAE_45_8h_1y,2025-04-11 08:00:00,2025-04-19 08:00:00,Long,$82563.0009,$85148.5944,0.247416,$618.65,3.03%,$42.13,192.0,Win
16,HMA_WAE_45_8h_1y,2025-04-21 16:00:00,2025-04-29 16:00:00,Long,$87559.9881,$94209.6916,0.238240,$1561.78,7.49%,$44.89,192.0,Win
17,HMA_WAE_45_8h_1y,2025-05-07 08:00:00,2025-05-15 00:00:00,Long,$96972.3720,$101729.1000,0.226384,$1053.82,4.80%,$46.06,184.0,Win
18,HMA_WAE_45_8h_1y,2025-05-26 00:00:00,2025-05-28 00:00:00,Long,$110149.6673,$108762.0318,0.205995,$-308.25,-1.36%,$44.81,48.0,Loss
